CentralAir,Area Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price,Address
Y,58301.73272,5,8,6,32759,890559.861,"USCGC Harris
FPO AE 57943-1887"
Y,66579.51999,8,7,3,35827,1417158.537,"463 Green Street Apt. 202
Alicefurt, MP 05063"
Y,73829.77774,6,6,4,51386,1376492.925,"PSC 8985, Box 4540
APO AP 99342-8231"
Y,86640.8016,6,6,3,22432,1306207.111,"542 Fleming Lakes Suite 229
Lake Jenniferborough, OK 25958-8585"
Y,80535.00342,6,8,5,25692,1275208.577,"8664 Barbara Ways Suite 599
East John, TX 89790-2123"
Y,51474.30702,6,8,5,38952,902520.94,"086 Pham Plains
Michaelhaven, TN 89309-1566"
Y,69333.68219,6,7,2,17187,872312.1738,"675 Baldwin Well
Larsenside, PR 93064-3226"
Y,55554.79675,6,8,5,44903,994517.0453,"206 James Point
Leslieville, NV 63556"
Y,64055.28418,8,7,5,27805,1289008.217,"Unit 7578 Box 5315
DPO AP 21782"
Y,76811.40182,8,7,4,27770,1610006.605,"338 Karen Prairie Apt. 341
Murphymouth, MI 56611"
Y,78030.06933,7,7,3,42433,1843720.648,"838 Hunter Mountains Apt. 655
Lake Jessicashire, TN 18218"
Y,76921.67563,7,7,4,44921,1891949.348,"935 Norris Walks
New Joshua, PA 84565-5279"
Y,63833.84316,6,8,5,34482,1451078.093,"USCGC Johnson
FPO AA 08988"
Y,69120.09299,7,7,5,36632,1481940.762,"Unit 6352 Box 4009
DPO AE 83854-5561"
Y,65454.97423,4,8,3,47741,1144477.879,"18153 Michelle Street Apt. 150
North Julieburgh, CT 81526-8507"
N,53067.1696,8,7,5,46133,1279945.51,"55158 David Garden Suite 849
Joshuashire, NH 08358"
Y,59519.20835,6,9,6,42177,1193021.312,"53197 Rowe Brooks
Anthonybury, DC 36875"
Y,64724.68649,7,5,4,43834,1167119.109,"11769 Vaughan Lakes Apt. 083
East Daniel, VI 57715"
Y,83936.74963,7,6,2,25569,1225612.763,"065 Christine Stream
Lake Sarah, NY 49190"
Y,70298.13952,7,4,2,33458,1131618.913,"21680 Jeffrey Heights Apt. 199
Davismouth, ND 55667-5634"
N,79337.32565,6,8,3,41521,1697501.605,"8538 Johnson Lodge
West Sharonberg, NJ 82474-6273"
Y,63578.82315,6,7,3,42323,1365496.885,"USCGC Anthony
FPO AE 75578-8273"
Y,65124.65602,5,6,4,19162,622449.6452,"6859 Brown Forges Apt. 352
Schultzstad, VT 26911"
Y,84364.70733,5,7,3,50521,1551094.815,"8285 Thompson Spring Apt. 597
East Stephanie, NY 77685"
Y,76287.4682,7,5,2,35213,1299126.83,"USS Jones
FPO AP 83668-4924"
Y,56433.01085,6,9,3,46059,1290324.649,"4025 Roberson Turnpike Suite 615
Brianburgh, TN 31726-6186"
Y,83406.74332,5,7,6,25351,1183884.005,"32631 Lucero Trafficway
Joshuaborough, WI 15469-7710"
Y,74867.50582,6,8,4,33769,1305934.325,"98193 Pierce Crest
Lake Michaelfurt, KY 99821-3879"
Y,55698.37442,7,8,6,49507,1279117.965,"PSC 6252, Box 5970
APO AE 99235"
Y,59575.62144,4,7,3,37154,786559.0249,"54194 Richard Mall
Johnfurt, SD 79157"
Y,69605.56602,8,7,3,35427,1588196.233,"74421 Horton Manor Apt. 121
Lake Edward, SC 75278"
Y,67663.97161,5,8,3,30546,976649.0166,"567 Gomez Hills
Amyville, NM 92900"
Y,75354.4149,7,7,3,21574,1250866.567,"7844 Juarez Green
Melissaview, KS 67281"
Y,63750.21601,6,7,3,40582,1046627.052,"17488 French Prairie Suite 496
East Williamburgh, GU 44258-8729"
Y,72263.21441,6,5,4,28428,1115935.277,"60205 Tammy Corner Apt. 791
West Lisastad, HI 54302-1058"
Y,69246.15092,6,6,2,35006,1077813.593,"451 Pratt Walk
West Josephchester, OH 68420-3256"
Y,65465.53989,6,7,3,31298,1047689.266,"88878 Ramirez Street
Fordville, NV 54980"
Y,107701.7484,7,9,3,37619,2332110.74,"41017 Eric Village
Jonathanport, CO 37205"
Y,58829.37333,7,6,3,31237,956435.2633,"8136 Lopez Cove Suite 606
Thomasview, MD 87052-0869"
Y,94650.54944,7,7,5,27798,1892623.546,"3232 Martinez Spurs Suite 594
Paulview, IL 73971-9525"
Y,49851.13478,5,5,3,32512,283208.1322,"03837 Burton Run Apt. 741
North Casey, HI 32920"
Y,61522.93112,6,9,6,30399,1176021.375,"249 Wall Stream Suite 514
Lake Cynthiaville, WY 10462"
Y,59082.00095,5,7,3,33463,783818.682,"776 Shawna Port Suite 508
Burkeshire, DE 16725-8223"
Y,80732.1713,8,7,6,28955,1625703.075,"4131 Jones Neck Apt. 808
Lake Jamesmouth, VI 37688"
Y,88222.04239,7,7,2,34795,1961846.905,"9951 Kevin Knoll Apt. 557
Piercefort, CT 70599"
Y,70651.68514,5,6,2,35340,1084556.029,"70172 Harding Burgs
New Elizabeth, GA 31809-6568"
Y,79289.10799,6,6,2,41321,1428247.074,"99993 Miller Mall
North Shelbyview, CO 19948-1105"
Y,73969.66467,6,8,6,39664,1634945.808,"23210 Vaughn Plaza
Patrickview, FM 32471-7299"
Y,62857.07813,5,6,4,48340,915992.5578,"2061 Edward Circles Suite 191
Lindseyborough, GU 82013"
N,72991.48165,3,6,2,50626,1042373.524,"0618 Richardson Mountain Apt. 253
Jasmineport, DC 78574"
Y,62794.96597,4,8,5,31162,879618.3222,"54038 Warner Mall Suite 306
Sarahmouth, SD 61528"
Y,71806.36195,6,6,2,47563,1210431.684,"13963 Anderson Fork
Port Dawnside, NV 79521"
Y,69584.65691,5,8,6,17046,1059262.039,"27634 Bell Mission Apt. 748
Whiteshire, FM 13329-8305"
Y,62357.03095,7,7,5,23383,972417.8089,"PSC 9682, Box 5865
APO AA 11465"
Y,59716.73664,5,7,5,41273,1242979.154,"7099 Shane Trail Apt. 259
Pinedaborough, GU 91864-3525"
Y,71093.69196,6,6,3,37143,1096846.086,"19371 Laura Mountain
South Sergioshire, PA 45947"
Y,76336.06984,6,8,3,37258,1392685.285,"69486 Brenda Island Apt. 827
Sarahborough, CT 52727"
N,54762.0543,4,8,5,58460,1080464.852,"84075 Jeffrey Tunnel
South Amymouth, KS 13318-7131"
Y,61666.1515,6,6,2,34605,821413.1935,"4484 Estes Bypass
Bradleystad, FM 70703"
Y,92280.49747,7,8,4,38004,2237778.026,"9032 Hernandez Passage
Lake Karenstad, NY 24477-7673"
Y,74312.89823,6,8,3,43907,1518319.641,"067 Lucas Walks Suite 450
East Marcland, VI 00144-8724"
Y,70026.92525,6,8,3,38102,1503552.206,"171 Wayne Flat Apt. 324
Bartlettside, IL 19674"
Y,68524.19436,6,6,2,48112,1219154.403,"85915 James River
Leblancfort, TN 61922-6111"
Y,87927.96606,6,5,2,34724,1276259.018,"01358 Barton Ranch
Lawrenceborough, SD 60884-8281"
Y,74082.02275,7,7,2,32617,1400496.655,"4120 Jason Path
Lake Rebeccafort, ME 80907-9585"
Y,72245.3376,6,6,2,25509,1127174.713,"271 Larson Corners Apt. 496
Andreaburgh, TX 00062"
Y,63555.45973,5,8,3,41839,1251663.851,"502 Willis Village Apt. 935
Port Lawrence, IN 49301"
Y,74170.66239,6,7,2,40719,1469354.782,"158 Christina Junctions Suite 137
North Justin, HI 69723-6199"
Y,70005.69443,5,7,4,25136,946556.2637,"93827 Gonzalez Rest Suite 278
Luisville, MH 13877-8429"
Y,67547.87107,7,7,4,28132,1150658.595,"639 James River Suite 931
West Denise, KY 32288"
Y,61776.61566,7,8,3,27971,1325819.913,"999 Lewis Fork
South Stephanie, WV 50293-8967"
Y,69200.66427,6,7,4,31085,1150093.889,"976 Tamara Course Suite 169
South Donna, MP 27394-3313"
Y,66887.15243,6,7,3,23806,1009142.338,"652 Debra Ramp Suite 784
Port Stefanieside, KY 51547"
Y,83201.02149,6,7,5,43837,1705276.19,"45434 Craig Shore
West Justin, AK 33316"
Y,59944.64516,6,8,4,28999,829794.8233,"4788 Kristen Bypass Suite 131
West Michael, SC 22980"
Y,53676.37215,6,7,2,47027,1046442.634,"7655 Weber Square
New Jaclyn, MT 85582"
Y,64074.96149,5,7,5,40211,1152269.431,"Unit 6626 Box 7561
DPO AP 16790"
Y,77324.39733,5,7,2,32840,1091479.56,"3269 Sherri Corner
New Jonathan, MS 39820-0357"
Y,76870.35628,5,6,4,25656,1039915.341,"60046 Destiny Port Suite 618
North Nataliehaven, WV 64258"
N,55897.31438,4,8,5,31094,565732.8175,"79244 Lee View Suite 312
Wendyton, MO 11893-3330"
N,87765.52423,5,8,6,39910,1739628.383,"168 Phillips Row
New Emily, CO 16308-7553"
Y,78331.93253,6,8,3,31033,1442128.732,"3350 Morris Road Suite 424
Maymouth, DC 48494"
Y,74569.85807,4,5,2,39184,1004124.909,"8850 April Lock Suite 431
North Janet, AR 53662-0663"
Y,87314.63582,5,7,2,25225,1143621.36,"639 Christopher Squares Suite 686
Reneetown, GA 47710"
Y,78019.85596,5,6,2,36689,1060241.2,"234 Mary Vista
Port Jenniferhaven, AS 50660-3651"
Y,64432.61434,7,7,4,50851,1548962.888,"3133 Stacey Mountains Suite 240
East Kayla, AK 86549-5044"
Y,74332.85047,5,8,6,30212,1056984.182,"7004 Monica Locks Apt. 668
Brownmouth, PR 36675"
Y,74664.33664,8,6,3,23818,1447353.264,"4241 Reed Keys Apt. 890
Snyderburgh, MI 24927"
Y,73406.21728,6,6,4,38074,1251566.478,"2758 Harris Canyon Apt. 514
Bakerburgh, PA 60893"
Y,58464.30507,5,7,3,25157,751969.2117,"024 Caleb Parkways
East Matthewborough, LA 94636"
Y,61600.92573,5,7,2,37458,764955.4982,"5274 Brown Ridge Apt. 421
East Robintown, DE 26378-8119"
N,75155.18265,6,6,4,51563,1539958.931,"1157 Jasmine Grove Apt. 934
East Craigside, AZ 99194-1973"
Y,67828.91266,6,6,2,27128,962747.1639,"39341 Wise Ports
Lake Laura, KY 62351-5064"
N,50144.73988,6,8,3,43233,1353854.478,"781 Townsend Mountains Suite 207
Joneston, NY 22169-4842"
Y,86557.25246,5,9,5,42757,1850525.573,"5442 Mcdaniel Hill
South Joe, TN 50468-3763"
Y,87733.86256,6,6,3,43943,1778411.665,"3034 Sarah Stream
West Patricia, CT 37525"
Y,65846.40694,7,8,3,22355,1369006.115,"939 Atkinson Vista Suite 208
Kennethton, GU 36352-1328"
Y,45551.40297,7,6,2,49839,1197975.085,"27317 Lloyd Radial Apt. 985
South Kevinview, NJ 72757-4701"
Y,89946.9002,7,8,4,40503,1930143.831,"03913 Brian Skyway Suite 719
East Michaelfort, FL 88693-1834"
Y,72792.67074,8,7,2,34104,1481946.194,"8339 Claudia Port
Brianberg, LA 70084"
Y,68709.10049,6,9,4,31660,1347578.53,"900 Eileen Prairie Suite 346
South Melissa, WV 86173-2956"
Y,87506.73197,5,5,3,32700,1358646.746,"20330 Kendra Throughway Apt. 798
South Timothyville, OH 90558-4977"
Y,62862.48802,5,7,3,37255,931768.0455,"4468 Haley Meadow Suite 401
Amandamouth, LA 51503-8671"
Y,59054.13026,5,7,5,51384,1205962.995,"6879 Rogers Squares
Port Christine, PR 15758-2368"
Y,45978.39092,5,8,3,36063,792146.076,"497 Olson Rue
Port Scottbury, MD 24573"
Y,80281.41683,6,8,5,45424,1618670.884,"363 Meyers Island
Lake Iantown, MP 83262-3375"
Y,65908.73975,5,7,3,24081,864446.7942,"907 Maria Branch
Jamesport, VT 98208-9060"
Y,55930.14482,6,7,3,24899,662630.3439,"559 Megan Summit Suite 325
Obrienmouth, OR 18396"
Y,77587.94723,6,7,4,37280,1485145.661,"2326 Amy Plains Suite 061
Dawnfurt, SD 64522-9268"
Y,62636.8301,6,6,3,51456,1047226.967,"84212 Christopher Knoll Suite 747
Codymouth, ID 33963-6108"
Y,76142.11983,4,9,4,41931,1392793.814,"96599 Santos Causeway Apt. 231
Port Paula, MA 16824"
Y,63524.21761,6,5,4,48124,943575.1307,"136 Brown Mills Apt. 509
Fletcherfort, IL 45521"
Y,85673.3062,7,6,2,33111,1793398.718,"59400 Theresa Well Suite 331
South Sandraland, MN 59076"
Y,49268.37307,6,8,6,41349,881273.1168,"USNV Hall
FPO AP 47103-2429"
Y,87978.41434,8,8,5,39586,2138713.943,"926 Rose Rapids Suite 479
South Jacob, AL 52129"
Y,78785.27727,7,7,2,33603,1540869.872,"99061 Justin Mission Suite 452
Johnhaven, OR 27004-7494"
Y,79271.90498,8,7,4,28904,1707650.436,"2627 Ford Spurs Suite 995
Christopherton, KY 30003-0171"
Y,62755.45277,6,7,3,41525,1025705.134,"713 Jason Plaza Apt. 927
Coreymouth, MA 50325"
Y,81944.65491,6,7,4,34262,1541186.254,"6975 Gabrielle Shores
Lake Kelseyland, CO 77085-1324"
Y,67384.00037,7,8,6,48918,1930344.449,"9380 Kimberly Mission Apt. 786
Buckmouth, PW 12882-2996"
Y,67282.57297,6,8,4,42769,1481146.95,"9131 Cline Prairie Suite 607
West Trevor, ND 38795-2007"
Y,57869.98449,5,6,3,44475,1099725.283,"05589 Aaron Prairie
Bakerbury, MP 64630-4394"
Y,64967.78483,7,7,3,28164,1190867.437,"917 Black Prairie
West Elizabeth, OH 04452"
Y,69700.74131,7,5,4,21935,1070318.815,"8649 Elizabeth Hill
Port Erin, WY 52957-5435"
Y,74490.63924,5,8,4,35563,1358213.906,"238 Julie Parks
Christopherton, NH 95146"
Y,54827.03231,7,8,6,45027,1198725.487,"59647 Matthew Harbors
Sheilashire, OK 81154-7934"
Y,74369.6686,7,8,3,45992,1774715.484,"PSC 9368, Box 6505
APO AA 78606"
Y,81357.86976,6,6,4,51019,1538903.993,"0052 Murphy Motorway
New Maria, TN 69580-8439"
Y,73185.62021,6,7,5,54681,1462360.601,"Unit 1448 Box 4395
DPO AA 25685"
Y,53526.93343,5,6,3,51611,953261.9162,"64535 Billy Mountain
Moseston, TN 48447-9761"
Y,64736.28408,7,7,3,47717,1427108.501,"7956 Cassandra Union
Lake Ann, OR 51456"
Y,68488.61746,5,7,4,28298,769576.8637,"08119 Regina Hollow
Ianport, SC 23292-5020"
Y,49424.26712,7,5,2,18657,668255.4804,"02795 Wendy Point
West Shannon, DE 72326-4625"
Y,62032.95947,5,7,4,25267,800809.1317,"1728 Erickson Ferry Apt. 348
Johnborough, WY 10598-1489"
Y,64506.79006,6,8,6,41521,1427202.279,"57349 Paul Wall
Port Kelly, MD 28873-9792"
Y,51178.14802,7,7,3,31822,783566.3279,"74931 Rogers Wall
Julianfurt, IN 78140"
Y,64290.20571,4,7,3,54157,949072.2496,"519 Avila Road
Jamesbury, SC 76217-0455"
Y,61482.24479,7,8,3,50245,1693591.835,"53979 Derek Road
Carrieville, DC 45078-8600"
Y,70130.56063,8,10,4,26794,1675557.271,"72654 Jason Plaza
South Crystalburgh, MS 24864"
Y,84923.39536,7,6,4,43232,1943359.768,"995 Carter Haven
North Raymondchester, PA 75389"
Y,63233.73313,5,7,2,49272,1106261.274,"05706 Ochoa Points Suite 263
North Craig, MH 98488-6772"
Y,53776.63203,7,6,4,29324,978766.9139,"75906 Marissa Ville Apt. 047
Robinsonside, MN 51149"
Y,67125.14983,5,8,5,22651,997827.2538,"3703 Mark Stravenue
Jenniferland, VT 47784"
Y,66007.93861,6,5,4,45400,1062206.321,"9606 Sanford Villages Apt. 846
Piercestad, CT 72842-3325"
Y,64838.4929,6,9,4,32921,1382172.294,"Unit 2193 Box 7909
DPO AA 47323-2101"
Y,83889.43598,7,6,5,17958,1281741.163,"4641 Romero Branch
Port Adam, OH 48769"
Y,78846.27009,7,8,6,41261,1592664.7,"89757 Mcfarland Cove
South Ronaldport, LA 62288-5973"
Y,72556.20088,5,7,6,31487,1247557.695,"796 William Skyway Apt. 402
West Tyrone, VI 81186-6677"
Y,62069.76279,6,7,3,27099,779207.5546,"47492 Phillips Trail Apt. 262
Mariohaven, MH 00956"
Y,88697.61952,5,7,3,29936,1222760.858,"649 Brandon Ways
New Jennifer, GA 81262"
Y,57216.21282,7,8,6,35046,1380715.315,"773 Zachary Turnpike
South Vanessamouth, NJ 83757"
Y,53712.14081,4,7,2,31914,704884.1544,"151 Luna Landing
Brandtmouth, RI 02975"
Y,77330.79471,6,6,3,49571,1530480.688,"26425 Tasha Trace Suite 683
North Kristinbury, UT 69027"
N,66556.38765,6,8,4,45326,1780415.438,"7287 Mullen Burg Apt. 284
Housetown, VA 71506-7091"
Y,74864.37031,6,8,6,46251,1709667.189,"19834 Rodriguez Lights Suite 480
Parkchester, MS 20288-6598"
Y,62561.56095,5,8,3,37446,852565.6269,"993 Lowery Villages Suite 537
Warnerhaven, MD 10412"
N,77821.62437,5,7,2,33933,1185310.267,"58847 Mccormick Isle Apt. 081
North Patrickborough, NJ 31166-7988"
Y,79579.993,6,9,6,43215,1795093.034,"USNV Walker
FPO AE 81668-3821"
Y,69923.34867,4,6,4,45202,956241.9913,"65132 Sharon Manors
Maynardmouth, MI 60210-9659"
Y,63879.68073,5,7,4,56267,1224454.547,"85285 Kayla Walks
Garnerberg, MA 84386"
Y,59154.68474,4,6,2,26568,552279.214,"0880 Torres Views
Lake Seanside, ND 47671"
Y,52835.26226,8,8,5,34537,1186357.179,"1813 Shawn Canyon Apt. 761
East Kennethfurt, LA 37064-8900"
Y,63750.37363,7,9,3,47248,1582261.701,"079 Cruz Walks
Gregoryfurt, IL 39580"
Y,81741.63202,5,8,5,29756,1478028.174,"508 Watson Motorway
Kirbychester, NJ 76201-4719"
Y,77594.60276,7,7,5,24294,1386306.103,"878 Shawn Ford Suite 912
Aaronburgh, NC 90513-9301"
N,79843.14633,6,7,3,42453,1424786.509,"006 Benson Camp Suite 290
Lake Tracy, AL 36317-8259"
Y,77081.68075,4,7,6,40080,1206937.316,"72956 Jessica Stravenue
Bethanyshire, CT 67149-6278"
Y,70713.64043,5,8,5,29436,1209287.535,"809 Harrington Forges
Smithstad, PW 59127"
Y,63797.99896,6,7,2,26627,1029869.764,"2765 Smith Mission
Baldwinton, LA 68900"
Y,45914.01122,5,6,4,26309,300464.0987,"7976 Richard Plains Apt. 958
Lake Abigail, IN 02827-4222"
Y,88190.46896,5,7,2,25177,1294278.118,"002 Katherine Flat
Hartmanland, AZ 37973-3049"
Y,72010.79507,6,8,6,16377,1251757.193,"456 Nicole Canyon
New Valerieside, CA 37155"
Y,52420.52553,7,6,4,39766,1128403.366,"35923 Melody Union
Huffmanville, AK 21375"
Y,74748.15451,5,7,5,36072,1363669.069,"467 Emily Rapids
New Bradleyside, MI 74897"
Y,80913.46083,6,7,6,30034,1177744.973,"642 Ashley Burg
Jennifershire, KY 79760-6173"
Y,59480.04567,5,8,4,43704,980274.0699,"99990 Miller Way
Russellberg, MN 31202"
Y,80951.28339,5,6,4,38991,1524115.891,"3027 Pamela Trail Suite 457
South Veronica, NC 79350"
Y,63856.3085,7,7,3,31115,1311902.534,"9912 Smith Roads Apt. 591
Lake Stacey, AR 95418-6029"
Y,74727.88857,6,7,5,27639,1119992.619,"68583 Allen Centers
North Masonhaven, ME 51493-3022"
Y,78095.35263,7,7,3,32346,1538922.903,"165 Rebecca Run
South Hannahport, LA 92436-6494"
Y,69689.6297,4,6,4,27439,843633.1982,"5831 Lisa Road Suite 705
East Nathan, VI 05521-1350"
Y,54973.19372,5,7,5,40413,903301.9933,"5073 Spencer Station Suite 444
Toddfort, MO 95614"
Y,62571.35286,6,7,4,41465,1161995.728,"86533 Gould Hills
Garciachester, DE 09135-4735"
Y,69370.93005,5,5,3,33732,733299.7945,"1732 Barbara Overpass
Hillmouth, DC 64884"
N,82415.25237,7,6,3,46298,1837930.801,"8901 Lisa Isle Apt. 035
North Tammiechester, NC 23048-4036"
Y,52864.75931,6,8,3,39157,962028.7008,"15502 Hailey Courts
West Melissaton, GA 00663"
Y,65855.86324,7,8,6,45529,1477765.148,"88428 Campos Path Apt. 890
North Joshuashire, AZ 84342-5757"
N,61310.28003,8,7,4,33201,1419345.607,"29337 Gabrielle Mission Suite 631
Loganfort, MS 10959"
Y,39411.65279,4,7,4,45851,539483.3966,"1085 Michele Glens Apt. 517
Sergiotown, VT 20367"
Y,77265.7483,5,8,3,21558,1097701.943,"270 Sarah Vista
North Jessicatown, MP 84920-3221"
Y,74777.76433,6,7,2,30013,1412274.486,"300 Larry Drive Apt. 188
Maychester, GU 63293-8809"
Y,67474.2798,3,8,4,34972,1013443.438,"6700 Burns Summit Apt. 752
Munozmouth, PR 33205"
Y,68848.19668,7,6,4,25880,893919.0388,"140 Alvarado Center
Hessview, OR 63586"
Y,66148.03832,6,7,4,31574,1234531.601,"77597 Connie Harbors
Robertville, DC 21128-0453"
Y,63595.95836,6,7,3,19345,864702.9339,"904 Jennifer Pass
East Carolyn, NE 80148-8850"
Y,60741.56973,6,7,4,24534,977024.1102,"5432 Walker Island
North Richardchester, AS 42587"
Y,73540.62894,4,7,5,39756,936148.5119,"12715 Short Squares Suite 017
Leahburgh, PR 77137-6937"
Y,74633.9417,6,6,3,30601,1056976.975,"132 Allison Rapids
Yvonnefurt, NC 14633"
Y,62016.68605,6,8,3,35750,1040607.312,"PSC 0939, Box 2872
APO AE 84646"
Y,84249.8608,6,6,4,44571,1641101.519,"3067 Monica Junctions
New Jamie, NY 50202"
Y,44247.14904,6,6,4,22012,503065.5056,"1377 Moran Wells
Richardburgh, IL 33834-1305"
Y,59473.98832,7,8,6,41215,1296146.939,"27645 Kline River
Port Samuelside, GU 06730"
Y,67839.38147,7,7,3,26377,1164209.619,"43918 Carpenter Village
Lindsayborough, WY 68856-0092"
Y,62972.00399,7,5,2,33870,999814.8898,"76984 Adams Stream
Jamesview, AZ 00532-4427"
Y,61162.58025,6,8,6,36034,1060897.689,"06275 Ross Mills Suite 054
Lisastad, DC 67330"
Y,87472.25699,6,7,3,48307,1848633.724,"29279 Jermaine Plain
Morrisland, SC 37248-4063"
Y,48692.97596,5,6,3,36239,617157.9103,"520 Love Hill
Port Scottview, NC 38932-2657"
Y,67858.50166,5,6,3,29709,857697.1255,"PSC 8501, Box 9843
APO AP 98266-5428"
Y,72332.05826,6,7,4,45804,1253434.398,"87019 Russell Port Apt. 950
Rhondastad, KY 27693-9413"
Y,80775.9033,6,8,5,26602,1635092.433,"62969 King Junctions Apt. 619
Maryton, NY 45618"
Y,75151.10555,7,7,3,32032,1524845.422,"PSC 7794, Box 7590
APO AA 40047"
Y,62095.03681,6,5,3,36183,763869.6667,"94007 Luis Isle Apt. 081
Port Jesse, IN 51991"
Y,75759.48996,5,8,4,46188,1376637.506,"14841 Jeffery Passage
Lake Kyle, WA 90337-7454"
Y,64374.30729,8,7,6,23251,1244440.135,"95798 Elizabeth River
Benjaminbury, VT 03318-9619"
N,48147.87075,6,8,6,32051,693931.5015,"PSC 3778, Box 1575
APO AE 50445-2100"
Y,64127.44061,6,7,2,42629,1277744.739,"3840 Timothy Walks
West Deborah, VT 14535-2467"
Y,83921.90733,6,7,4,39570,1539329.319,"805 Brown Land Suite 726
Jenniferhaven, GA 61596-1119"
Y,54617.88615,6,7,2,29614,903881.6639,"548 Alec Keys
Daniellemouth, PA 02241"
Y,45493.20843,7,7,3,38938,896944.2443,"PSC 9294, Box 6252
APO AP 46111-7806"
Y,72780.15123,5,6,2,44954,1184758.842,"60075 Rhodes Summit
North Crystalview, VA 40652"
Y,96395.3218,5,8,7,35036,1731437.416,"389 Michael Knolls Apt. 891
Reyeshaven, WV 22646-0966"
Y,47467.42392,6,7,3,37342,762144.9261,"753 Kline Street
New Cindyland, MI 13424-8203"
Y,61807.48493,6,8,5,44587,1270905.02,"876 Woods Circles
North Sarah, OK 34668"
Y,54794.42399,6,8,4,39386,1000043.903,"043 Tyler Oval
Lake William, AS 62856-9836"
Y,94923.40619,6,8,3,43819,1967637.287,"8068 Curtis Glen
Anthonyfurt, VA 17191"
Y,62058.50246,7,6,3,28954,1114779.247,"034 Parker Unions
Lake Thomas, MP 99522-4945"
Y,46952.22944,6,6,4,31628,671661.7134,"727 Gonzales Fork
Jonathanborough, ND 57809-1961"
N,67003.62956,7,7,3,28464,1214986.886,"003 Erica Passage Apt. 274
East Ritaton, KS 97261-8617"
Y,87835.27161,4,7,3,16251,1053236.6,"1215 Dawson Locks Suite 788
Port Elizabeth, NH 66530"
Y,73433.62623,7,6,2,44544,1515005.384,"62721 Stewart Mount
Marieburgh, WY 37987-7127"
Y,70124.38688,7,7,6,51674,1732196.217,"3222 Alexis Square
Leetown, MS 07616"
Y,84366.24462,5,8,5,43445,1587122.369,"30682 Perry Ranch Suite 253
Tinaport, CT 17781"
Y,60343.59941,8,7,4,24199,1184893.56,"8042 Jasmine Ramp
Charlesborough, IL 29751"
Y,71308.86039,6,9,3,22710,1314348.699,"6049 Ramos Fork
Vaughnmouth, MN 39214-3093"
Y,65430.97914,4,7,4,33320,717825.3597,"7646 Joshua Tunnel
Christinaton, AZ 69071-6657"
Y,73591.48889,5,7,3,51662,1441736.761,"960 Diamond Mews Apt. 150
East Donnaview, MH 67321-2363"
Y,52805.83596,7,7,4,37161,1119542.311,"4122 Bradley Turnpike Apt. 551
New Carlaville, KY 15412-2546"
Y,58187.0494,6,7,4,31552,850977.0123,"0227 Walters Haven
West Wesleybury, MS 17227"
Y,70506.22247,6,8,3,44707,1655466.736,"6998 Jason Hollow
Kleinbury, KY 02969"
Y,77412.45431,7,7,4,33259,1641739.518,"793 Cynthia Shore
South Randy, MN 75770-8233"
N,65087.71793,7,7,3,40283,1369976.501,"31241 Johnson Prairie Suite 452
Hancockshire, AS 54797-5444"
Y,72547.04742,6,7,3,39219,1465835.843,"PSC 6728, Box 9260
APO AA 33818"
Y,78864.05341,6,7,3,50194,1789334.851,"8374 Colon Isle
North Yolanda, SD 47070-7137"
Y,67335.75773,7,7,6,10311,863297.1767,"493 Beth Tunnel Apt. 276
New Mitchell, DC 10981"
Y,79552.39015,5,7,3,50114,1425366.413,"5131 Tapia Gardens Suite 886
Christinaburgh, CO 75023-0787"
Y,89089.43207,7,9,5,49782,2271112.744,"8252 Murillo Mountain
Glennshire, SC 33179"
Y,67110.33438,7,7,6,31999,1370699.722,"965 Wilson Ridges
Holmesland, VT 81072"
Y,80778.90088,6,6,3,34431,1566740.128,"3753 Dean Island Suite 773
North Dennis, OR 90936-6820"
Y,76624.14812,5,6,4,47039,1436995.2,"678 Patton Pass
Guzmanberg, MA 60510"
Y,80011.58352,6,6,2,26576,1345962.955,"51202 Perez Squares
New Kellytown, WV 38886-7802"
Y,70472.79238,6,6,3,34894,1265180.909,"4821 Christopher Park
Lopezside, MH 21430"
Y,57456.99716,5,8,6,37379,1061222.537,"278 Tina Spur Suite 751
Jessicashire, PA 60756"
Y,80000.76417,6,6,3,42245,1383967.463,"50664 Kent Haven
Christopherchester, KS 50822-8146"
Y,66387.6838,6,8,5,22553,1051519.066,"0896 David Islands Suite 115
Lake Patriciaburgh, MD 03928-1885"
Y,64699.39397,7,7,4,49084,1550359.548,"31018 Park Square Suite 876
Normanside, MA 65696-1725"
Y,84777.30248,5,6,2,42039,1375057.083,"88259 Amanda Valleys
Carrollmouth, OH 35308-8073"
N,81196.61131,7,7,3,49575,1882978.9,"6983 Tyler Mission Apt. 984
South Nicholasbury, DE 26628"
N,60690.71865,8,7,3,35529,1274053.64,"814 Elizabeth Square Suite 264
New Brenda, DC 70173-4108"
Y,72000.91793,7,8,3,27699,1426434.644,"02930 Kenneth Glen Apt. 117
East Michaeltown, NC 02319-9280"
Y,51144.77077,7,7,4,39369,913587.0974,"572 Shelton River Suite 617
Reyesland, DE 48811"
N,57683.84762,7,7,4,43348,1116730.867,"014 Cheryl Plaza Suite 493
Lake Melinda, MH 07175"
Y,63759.0507,6,8,6,35072,1226586.921,"4976 Shields Mount Suite 333
East Michelehaven, CT 44471-9324"
